	mask_image	intensity_image	label	INTEGRATED_INTENSITY	MEAN	MEDIAN	MIN	MAX	RANGE	STANDARD_DEVIATION	STANDARD_ERROR	SKEWNESS	KURTOSIS	HYPERSKEWNESS	HYPERFLATNESS	MEAN_ABSOLUTE_DEVIATION	ENERGY	ROOT_MEAN_SQUARED	ENTROPY	MODE	UNIFORMITY	P01	P10	P25	P75	P90	P99	INTERQUARTILE_RANGE	ROBUST_MEAN_ABSOLUTE_DEVIATION
24	Segmentation0	Intensity0	25	15915425.0	37893.869047619046	38364.0	14108.0	57988.0	43880.0	9776.702416598091	477.0542300777089	-0.2889392886093377	-0.5423071637127586	-1.829933809208008	8.213427515752468	7968.231802721082	643146689137.0	39131.84944265197	3.112274750967576	35134.0	1518.0	15248.880000000001	24200.4	31699.890909090907	45438.32	50791.68	55911.013333333336	13738.429090909092	8776.0
25	Segmentation0	Intensity0	26	8011720.0	37970.23696682465	38078.0	3970.0	65475.0	61505.0	20318.781370487603	1398.8025962338943	-0.03837834086718591	-1.50138402450141	-0.1688769498980463	2.535776508227941	18396.633948024526	390906010952.0	43042.24811734699	3.03314770010049	65471.0	997.0	6452.751833333334	12238.029285714285	17770.184374999997	57863.75625	64975.863269230766	65425.086326923076	40093.571875	11715.238095238094
26	Segmentation0	Intensity0	27	8642953.0	31428.92	30989.0	9264.0	52036.0	42772.0	10472.422484521267	631.5108368588822	-0.007014057522978101	-1.078221937170906	-0.06643156201330651	4.668576267727499	9021.555490909082	301688705759.0	33121.74269454487	3.05617541679835	25780.0	637.0	11723.390000000001	17176.82	23057.97	40747.247142857144	45673.66500000001	51643.92333333334	17689.277142857143	8147.047619047617
27	Segmentation0	Intensity0	28	1171238.0	22098.830188679247	22130.0	13044.0	30210.0	17166.0	4611.6902988944585	633.4643802128411	0.008062558342367201	-1.058469720461762	-0.1947473862340043	4.522176584720904	3917.4182983268065	26988909418.0	22566.007755028357	2.7516122983986473	13044.0	77.0	13134.9798	16357.038	18322.545000000002	26326.192499999997	28441.902000000002	30119.0202	8003.6474999999955	2942.742857142858
28	Segmentation0	Intensity0	29	4339758.0	29522.163265306124	28984.0	13121.0	48906.0	35785.0	7687.461253307695	634.0511177117165	0.06705428158319574	-0.5246222752304419	0.5346596683463948	8.433152788605653	6299.801471609052	136747215044.0	30500.051861671087	2.78171182693282	27218.0	285.0	13562.94475	19097.095	24102.521875	35173.506250000006	39476.652500000004	46316.955250000006	11070.984375000007	6709.6875
29	Segmentation0	Intensity0	30	6952969.0	32189.671296296296	32414.5	13430.0	52056.0	38626.0	8267.743049545736	562.5486609952553	0.005202678625446322	-0.5360262553870045	0.22390341037203673	8.414207193177536	6773.702117626903	238510235297.0	33229.71640416039	2.9328922727178517	28525.0	524.0	14264.321600000001	20738.0392	26253.832000000002	38730.03	42193.494666666666	50449.1584	12476.197999999997	7357.333333333334
30	Segmentation0	Intensity0	31	8702905.0	27540.83860759494	25033.0	12646.0	53697.0	41051.0	10278.451573330409	578.2080752704048	0.6509198153416249	-0.641334290126427	3.205049073045605	8.09980293517949	8581.743650857195	272963970547.0	29390.645337872087	2.951126117160157	14510.0	1256.0	13586.0679	15613.400857142857	19670.282222222224	35326.6775	44193.6935	51578.76839999999	15656.395277777774	7819.2380952380945
31	Segmentation0	Intensity0	32	13577147.0	35357.153645833336	36155.5	15131.0	51159.0	36028.0	8686.118143446973	443.2616103536713	-0.18140447084911498	-0.7870567252951695	-1.087877739244279	6.5078832893590475	7225.073133680577	508946104889.0	36405.77538635554	3.1985078530011055	24193.0	1062.0	15832.345066666667	23363.398	28641.5	41791.72	47087.836	50577.74826666666	13150.220000000001	7205.600000000001
32	Segmentation0	Intensity0	33	5577450.0	35078.301886792455	34452.0	9244.0	60436.0	51192.0	15052.861214944776	1193.7695456107103	0.030319488007528168	-1.4645130184902555	0.09879580477087357	2.810730370339164	13751.184288596167	231448478518.0	38152.99212760787	2.847948593662494	11956.0	291.0	10569.872800000001	16743.628	20804.86	49749.67	54049.798	60029.0236	28944.809999999998	9598.5
33	Segmentation0	Intensity0	34	12464883.0	30551.183823529413	29672.0	11518.0	53051.0	41533.0	7587.406297761132	375.63258516469654	0.4252072670689999	-0.04096203222679007	2.8170225326978295	13.300145878217185	6003.793288638975	404247406743.0	31477.01490782366	2.8621643419611806	21071.0	1522.0	14857.2532	21267.87175	25283.222857142857	35441.008	41311.005333333334	49919.4118	10157.785142857145	8306.600000000002
34	Segmentation0	Intensity0	35	1340580.0	25780.384615384617	25431.5	9220.0	43307.0	34087.0	9093.062740684965	1260.9809216365675	0.023423432979594542	-1.1139010085247878	0.11976859579760361	4.223523786608778	7755.192307692307	38777541298.0	27307.909990302473	2.719536123371173	22244.0	66.0	9397.2524	14128.528	18423.489999999998	33421.770000000004	38125.776000000005	43129.747599999995	14998.280000000006	5843.485714285716
35	Segmentation0	Intensity0	36	30217291.0	40343.512683578105	42069.0	17384.0	54590.0	37206.0	8114.564881624128	296.49974776495685	-0.6646721451116475	-0.2466652860946792	-3.9422190510104906	11.3565208131669	6561.904855784548	1268324592809.0	41150.42243729328	3.1750419088745616	43254.0	3831.0	20451.6347	27485.429000000004	35533.551875000005	46224.12147058823	49831.3526	53404.523825	10690.569595588226	7516.363636363634
36	Segmentation0	Intensity0	37	8380368.0	33928.61538461538	32382.0	4632.0	65483.0	60851.0	18217.590055569115	1159.157497049768	0.06698122974934112	-1.4867740025731004	0.2537617030490358	2.672976246769427	16561.73403924011	365976907162.0	38492.69909017765	3.089449874762355	7941.0	635.0	6743.5297	11498.021166666666	16003.530625	51563.33375	57633.221000000005	64087.07806	35559.803125	11590.666666666666
37	Segmentation0	Intensity0	38	6611737.0	31940.75845410628	30916.0	18375.0	44996.0	26621.0	7117.998486648863	494.7350945675775	0.08392474659066482	-1.2146280207364593	0.03900548424245833	3.937192179154343	6226.122756657099	221621070385.0	32720.531631770602	3.0779549362422474	25350.0	563.0	18558.6849	23013.70925	26145.004375	38958.7375	42081.000499999995	43655.63265	12813.733125000002	5070.666666666665
38	Segmentation0	Intensity0	39	4228923.0	27821.861842105263	26326.0	11493.0	47733.0	36240.0	9798.457583748634	794.7598570626005	0.2810853363865763	-1.1490465033961412	1.1436912758264512	4.245270242336203	8507.44667590027	132153986871.0	29486.168353167148	2.93989460978656	18156.0	322.0	12406.248	15406.92	19465.8	35230.2	42460.08	46457.35199999999	15764.399999999998	6795.0
